,Unnamed: 0,French,English
0,0,histoire,history
1,1,chercher,search
2,2,seulement,only
3,4,aide,help
4,5,demande,request
5,6,genre,kind
6,7,mois,month
7,8,frère,brother
8,9,laisser,let
9,10,mettre,to put
10,11,aucun,no
11,13,eux,them
12,14,ville,city
13,16,devrait,should
14,17,bébé,baby
15,18,longtemps,long time
16,19,heures,hours
17,20,vont,will
18,21,pendant,while
19,22,revoir,meet again
20,23,aucune,any
21,24,place,square
22,25,parle,speak
23,26,compris,understood
24,27,savais,knew
25,28,étaient,were
26,29,attention,Warning
27,30,voici,here is
28,31,pourrais,could
29,32,affaire,case
30,33,donner,give
31,34,type,type
32,35,leurs,their
33,36,donné,given
34,38,corps,body
35,39,endroit,place
36,40,façon,way
37,41,écoute,listen
38,42,dont,whose
39,43,trouve,find
40,44,premier,first
41,45,perdu,lost
42,46,main,hand
43,47,première,first
44,48,côté,side
45,49,pouvoir,power
46,51,sois,be
47,52,tiens,here
48,53,matin,morning
49,54,tellement,so much
50,55,enfant,child
51,56,point,point
52,57,venu,came
53,58,venez,come
54,59,devant,in front of
55,60,vers,towards
56,61,minutes,minutes
57,62,demandé,request
58,63,chambre,bedroom
59,64,mis,placed
60,66,droit,law
61,67,aimerais,would like to
62,68,aujourd'hui,today
63,69,mari,husband
64,70,cause,cause
65,71,enfin,finally
66,72,espère,hope
67,73,eau,water
68,74,attendez,Wait
69,75,nouvelle,new
70,76,boulot,job
71,78,dirait,would say
72,80,donne,given
73,81,loin,far
74,82,fin,end
75,83,croire,believe
76,84,chérie,sweetheart
77,85,gros,large
78,86,plutôt,rather
79,87,aura,will have
80,88,filles,girls
81,89,jouer,to play
82,90,bureau,office
